number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
0,0.13253270254812283,0.5438450460207604,2024-03-13 17:05:25.588176,2024-03-13 17:05:29.343217,0 days 00:00:03.755041,friedman_mse,5,log2,300,5,6,100,0,COMPLETE
1,0.3246394014858054,0.4288035254356609,2024-03-13 17:05:29.343217,2024-03-13 17:07:17.319733,0 days 00:01:47.976516,absolute_error,9,sqrt,900,3,4,100,0,COMPLETE
2,0.2563439373561188,0.4676172135961208,2024-03-13 17:07:17.319733,2024-03-13 17:07:24.454039,0 days 00:00:07.134306,friedman_mse,5,,800,3,8,100,0,COMPLETE
3,0.13691698025973809,0.5436090354013374,2024-03-13 17:07:24.454039,2024-03-13 17:07:31.128790,0 days 00:00:06.674751,squared_error,3,,1000,3,4,160,0,COMPLETE
4,0.12241423224702228,0.5605737549057525,2024-03-13 17:07:31.128790,2024-03-13 17:35:35.953800,0 days 00:28:04.825010,absolute_error,3,,700,3,4,160,0,COMPLETE
5,0.13867905751473822,0.5397439564784569,2024-03-13 17:35:35.953800,2024-03-13 17:35:38.623056,0 days 00:00:02.669256,squared_error,5,log2,1000,1,10,180,0,COMPLETE
6,0.2904220987733005,0.4512655736114931,2024-03-13 17:35:38.624563,2024-03-13 17:37:49.557590,0 days 00:02:10.933027,absolute_error,9,log2,800,1,4,180,0,COMPLETE
7,0.25665373435850203,0.4674587811890952,2024-03-13 17:37:49.557590,2024-03-13 17:38:01.026524,0 days 00:00:11.468934,friedman_mse,5,,700,1,4,180,0,COMPLETE
8,0.12276720041498382,0.5605527896082052,2024-03-13 17:38:01.026524,2024-03-13 18:12:57.280136,0 days 00:34:56.253612,absolute_error,3,,700,3,2,200,0,COMPLETE
9,0.15019430837343975,0.5457412522090419,2024-03-13 18:12:57.281138,2024-03-13 18:15:51.664152,0 days 00:02:54.383014,absolute_error,5,sqrt,200,1,4,180,0,COMPLETE
10,0.2724872724992863,0.4548244679740849,2024-03-13 18:15:51.665155,2024-03-13 18:15:54.932038,0 days 00:00:03.266883,friedman_mse,7,sqrt,600,1,6,120,0,COMPLETE
11,0.1350757227872691,0.5420814997070904,2024-03-13 18:15:54.933040,2024-03-13 18:15:55.800138,0 days 00:00:00.867098,friedman_mse,5,log2,800,3,6,120,0,COMPLETE
12,0.12120411811224288,0.561277851565442,2024-03-13 18:15:55.802132,2024-03-13 18:40:37.083474,0 days 00:24:41.281342,absolute_error,3,,300,1,6,140,0,COMPLETE
13,0.1164260452217644,0.5685536332478376,2024-03-13 18:40:37.084475,2024-03-13 18:42:10.718374,0 days 00:01:33.633899,absolute_error,5,log2,100,1,8,140,0,COMPLETE
14,0.13731368172898817,0.5434396507445542,2024-03-13 18:42:10.719376,2024-03-13 18:42:16.533723,0 days 00:00:05.814347,friedman_mse,3,,1000,3,8,100,0,COMPLETE
15,0.2919080787944496,0.44298745623911084,2024-03-13 18:42:16.533723,2024-03-13 18:42:18.519537,0 days 00:00:01.985814,friedman_mse,9,log2,300,5,2,200,0,COMPLETE
16,0.4080217643058825,0.36996189900521786,2024-03-13 18:42:18.520607,2024-03-13 18:42:39.592062,0 days 00:00:21.071455,friedman_mse,9,,700,3,8,160,0,COMPLETE
17,0.3385311593234309,0.4136046567855519,2024-03-13 18:42:39.593079,2024-03-13 18:42:41.651138,0 days 00:00:02.058059,friedman_mse,9,sqrt,700,5,2,140,0,COMPLETE
18,0.40813934096746474,0.36950402622638284,2024-03-13 18:42:41.651138,2024-03-13 18:43:00.066508,0 days 00:00:18.415370,friedman_mse,9,,200,1,6,140,0,COMPLETE
19,0.350920857434592,0.40607372852566614,2024-03-13 18:43:00.067527,2024-03-13 18:43:10.093471,0 days 00:00:10.025944,friedman_mse,7,,800,3,8,100,0,COMPLETE
20,0.28416402866715307,0.45553266492074995,2024-03-13 18:43:10.093471,2024-03-13 18:44:39.046614,0 days 00:01:28.953143,absolute_error,9,log2,400,3,4,120,0,COMPLETE
21,0.3009729807887181,0.4369742507952507,2024-03-13 18:44:39.047616,2024-03-13 18:44:40.759234,0 days 00:00:01.711618,squared_error,9,log2,1000,3,8,160,0,COMPLETE
22,0.27119026376046657,0.45558071503694997,2024-03-13 18:44:40.760236,2024-03-13 18:44:42.232876,0 days 00:00:01.472640,squared_error,9,log2,100,1,4,160,0,COMPLETE
23,0.40483780418024323,0.37229518042803056,2024-03-13 18:44:42.233879,2024-03-13 18:45:02.026315,0 days 00:00:19.792436,friedman_mse,9,,700,5,6,160,0,COMPLETE
24,0.20755198895775973,0.5067099979618179,2024-03-13 18:45:02.027320,2024-03-13 18:46:10.451398,0 days 00:01:08.424078,absolute_error,7,log2,1000,1,10,100,0,COMPLETE
25,0.06277583605588963,0.5877970766236916,2024-03-13 18:46:10.451398,2024-03-13 18:46:11.262518,0 days 00:00:00.811120,squared_error,3,sqrt,1000,5,2,120,0,COMPLETE
26,0.2563032794930978,0.46775896899818814,2024-03-13 18:46:11.264519,2024-03-13 18:46:23.034984,0 days 00:00:11.770465,friedman_mse,5,,900,5,6,180,0,COMPLETE
