number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,system_attrs_nsga2:generation,state
0,0.4530361291994689,0.3432433842677066,2024-03-16 13:14:54.050393,2024-03-16 14:33:09.725815,0 days 01:18:15.675422,absolute_error,15,,400,320,0,COMPLETE
1,0.4836151352893519,0.32274074762551114,2024-03-16 14:33:09.726818,2024-03-16 14:34:15.600061,0 days 00:01:05.873243,friedman_mse,13,,700,320,0,COMPLETE
2,0.508871602118021,0.3073021742250709,2024-03-16 14:34:15.601048,2024-03-16 14:35:44.518601,0 days 00:01:28.917553,squared_error,17,,1000,360,0,COMPLETE
3,0.5084662961625953,0.30755425972163997,2024-03-16 14:35:44.519604,2024-03-16 14:37:02.648741,0 days 00:01:18.129137,squared_error,17,,1000,320,0,COMPLETE
4,0.4349792812063934,0.35234421405365596,2024-03-16 14:37:02.650749,2024-03-16 14:37:35.560792,0 days 00:00:32.910043,squared_error,15,,200,220,0,COMPLETE
5,0.43288383554375665,0.3570318300271777,2024-03-16 14:37:35.561794,2024-03-16 14:44:14.580950,0 days 00:06:39.019156,absolute_error,13,sqrt,800,360,0,COMPLETE
6,0.385799444427266,0.38342924564358016,2024-03-16 14:44:14.581950,2024-03-16 14:44:53.245059,0 days 00:00:38.663109,friedman_mse,15,,100,320,0,COMPLETE
7,0.45663839609096535,0.34173393074553216,2024-03-16 14:44:53.247060,2024-03-16 14:49:03.221790,0 days 00:04:09.974730,absolute_error,15,sqrt,1000,220,0,COMPLETE
8,0.3855010991943251,0.3836702384105815,2024-03-16 14:49:03.222792,2024-03-16 14:49:32.129817,0 days 00:00:28.907025,squared_error,17,,100,240,0,COMPLETE
9,0.43136844436107447,0.3544373815690018,2024-03-16 14:49:32.130820,2024-03-16 14:49:36.399400,0 days 00:00:04.268580,friedman_mse,19,sqrt,400,240,0,COMPLETE
10,0.4829449035138511,0.32241765114299115,2024-03-16 14:49:36.400403,2024-03-16 14:49:43.934533,0 days 00:00:07.534130,friedman_mse,19,sqrt,900,320,0,COMPLETE
11,0.4765540840281979,0.32660728021333674,2024-03-16 14:49:43.935536,2024-03-16 14:50:20.837955,0 days 00:00:36.902419,friedman_mse,17,,400,200,0,COMPLETE
12,0.4604951830465523,0.33638154500033357,2024-03-16 14:50:20.838957,2024-03-16 14:51:11.021149,0 days 00:00:50.182192,friedman_mse,15,,300,300,0,COMPLETE
13,0.43543262525495996,0.35483497096401906,2024-03-16 14:51:11.023151,2024-03-16 16:00:39.648993,0 days 01:09:28.625842,absolute_error,15,,300,280,0,COMPLETE
14,0.4575064062773442,0.338326616627525,2024-03-16 16:00:39.650605,2024-03-16 16:01:33.914541,0 days 00:00:54.263936,squared_error,13,,300,320,0,COMPLETE
15,0.4027385454300901,0.37714139592029017,2024-03-16 16:01:33.915545,2024-03-16 16:06:22.706092,0 days 00:04:48.790547,absolute_error,15,sqrt,400,260,0,COMPLETE
16,0.43135497375945187,0.3544753158680559,2024-03-16 16:06:22.708465,2024-03-16 16:06:26.701418,0 days 00:00:03.992953,squared_error,19,sqrt,400,220,0,COMPLETE
17,0.3233036067648757,0.4220172783828896,2024-03-16 16:06:26.703412,2024-03-16 16:06:30.870033,0 days 00:00:04.166621,friedman_mse,17,sqrt,100,300,0,COMPLETE
18,0.42956393395422154,0.35956029665923495,2024-03-16 16:06:30.872028,2024-03-16 16:10:59.367609,0 days 00:04:28.495581,absolute_error,15,sqrt,600,240,0,COMPLETE
19,0.4046283471476032,0.3761773300163873,2024-03-16 16:10:59.369612,2024-03-16 16:15:03.158656,0 days 00:04:03.789044,absolute_error,19,sqrt,400,220,0,COMPLETE
20,0.4211815737609269,0.3652933263419978,2024-03-16 16:15:03.160649,2024-03-16 16:19:30.902903,0 days 00:04:27.742254,absolute_error,19,sqrt,500,240,0,COMPLETE
21,0.43550055956667,0.3520115772880452,2024-03-16 16:19:30.904855,2024-03-16 16:20:21.361413,0 days 00:00:50.456558,squared_error,15,,200,340,0,COMPLETE
22,0.4810224543993663,0.32355403743798217,2024-03-16 16:20:21.361944,2024-03-16 16:20:29.089205,0 days 00:00:07.727261,squared_error,15,sqrt,1000,300,0,COMPLETE
23,0.4581899822894373,0.33771452252938616,2024-03-16 16:20:29.090208,2024-03-16 16:20:35.160585,0 days 00:00:06.070377,friedman_mse,17,sqrt,600,300,0,COMPLETE
24,0.4400737249300196,0.3522988782679038,2024-03-16 16:20:35.161600,2024-03-16 16:25:26.573575,0 days 00:04:51.411975,absolute_error,13,sqrt,1000,260,0,COMPLETE
25,0.48532130081517744,0.3213564068719066,2024-03-16 16:25:26.574822,2024-03-16 16:26:32.763245,0 days 00:01:06.188423,friedman_mse,15,,500,340,0,COMPLETE
26,0.3233253659138115,0.42208982771908554,2024-03-16 16:26:32.765620,2024-03-16 16:26:35.237386,0 days 00:00:02.471766,friedman_mse,15,sqrt,100,200,0,COMPLETE
27,0.3230870485177574,0.4221856590417642,2024-03-16 16:26:35.238390,2024-03-16 16:26:39.886292,0 days 00:00:04.647902,squared_error,15,sqrt,100,340,0,COMPLETE
28,0.4299077681739488,0.35523161337302994,2024-03-16 16:26:39.888298,2024-03-16 16:26:45.811182,0 days 00:00:05.922884,friedman_mse,15,sqrt,400,340,0,COMPLETE
29,0.4099541547374497,0.3677369249764779,2024-03-16 16:26:45.812181,2024-03-16 16:26:51.248800,0 days 00:00:05.436619,friedman_mse,19,sqrt,300,340,0,COMPLETE
30,0.5020981807183441,0.31143035395933816,2024-03-16 16:26:51.250803,2024-03-16 16:28:15.641549,0 days 00:01:24.390746,friedman_mse,15,,1000,360,0,COMPLETE
31,0.4325211331391537,0.35652702398780267,2024-03-16 16:28:15.643880,2024-03-16 17:54:41.295081,0 days 01:26:25.651201,absolute_error,13,,300,340,0,COMPLETE
32,0.49869071774650875,0.31345893839152444,2024-03-16 17:54:41.296277,2024-03-16 17:55:59.071508,0 days 00:01:17.775231,squared_error,15,,800,340,0,COMPLETE
33,0.3783150528263413,0.38747156430841184,2024-03-16 17:55:59.073017,2024-03-16 17:56:05.426502,0 days 00:00:06.353485,squared_error,15,sqrt,200,320,0,COMPLETE
34,0.38586456919980705,0.3834464191635789,2024-03-16 17:56:05.428498,2024-03-16 17:56:41.540048,0 days 00:00:36.111550,squared_error,19,,100,300,0,COMPLETE
35,0.32315726858175803,0.4221425502994459,2024-03-16 17:56:41.541051,2024-03-16 17:56:45.840155,0 days 00:00:04.299104,squared_error,17,sqrt,100,360,0,COMPLETE
36,0.4647142997404212,0.3367028677559417,2024-03-16 17:56:45.842157,2024-03-16 18:02:25.558198,0 days 00:05:39.716041,absolute_error,19,sqrt,1000,300,0,COMPLETE
37,0.4363958401481723,0.35425686825863745,2024-03-16 18:02:25.559200,2024-03-16 19:26:38.535699,0 days 01:24:12.976499,absolute_error,17,,300,320,0,COMPLETE
38,0.4834329244330601,0.32286162285172515,2024-03-16 19:26:38.535699,2024-03-16 19:27:49.269444,0 days 00:01:10.733745,friedman_mse,13,,700,300,0,COMPLETE
39,0.4865973051712082,0.32011133969004246,2024-03-16 19:27:49.270446,2024-03-16 19:27:57.350623,0 days 00:00:08.080177,friedman_mse,17,sqrt,1000,220,0,COMPLETE
40,0.5033340486810871,0.31051888413355133,2024-03-16 19:27:57.352143,2024-03-16 19:28:59.844664,0 days 00:01:02.492521,squared_error,17,,800,240,0,COMPLETE
41,0.4754575324693592,0.3269468020929004,2024-03-16 19:28:59.844664,2024-03-16 19:29:06.207892,0 days 00:00:06.363228,squared_error,17,sqrt,800,240,0,COMPLETE
42,0.40715529677281,0.37332724466289224,2024-03-16 19:29:06.207892,2024-03-16 20:27:08.016833,0 days 00:58:01.808941,absolute_error,15,,200,220,0,COMPLETE
43,0.47007291369539106,0.3306990892985389,2024-03-16 20:27:08.018363,2024-03-16 20:27:58.606635,0 days 00:00:50.588272,friedman_mse,13,,400,240,0,COMPLETE
44,0.3783821584975705,0.38758271183986975,2024-03-16 20:27:58.607638,2024-03-16 20:28:03.994403,0 days 00:00:05.386765,squared_error,17,sqrt,200,200,0,COMPLETE
45,0.4961680534382393,0.3153342795240973,2024-03-16 20:28:03.994403,2024-03-16 21:34:01.168932,0 days 01:05:57.174529,absolute_error,19,,1000,240,0,COMPLETE
46,0.4960159559235934,0.315036265220454,2024-03-16 21:34:01.168932,2024-03-16 21:35:25.976939,0 days 00:01:24.808007,squared_error,15,,700,340,0,COMPLETE
47,0.44556165226525496,0.34905618617806644,2024-03-16 21:35:25.976939,2024-03-16 21:39:55.028736,0 days 00:04:29.051797,absolute_error,15,sqrt,800,220,0,COMPLETE
48,0.40686715706792087,0.369602671407165,2024-03-16 21:39:55.029728,2024-03-16 21:40:00.848592,0 days 00:00:05.818864,squared_error,13,sqrt,300,320,0,COMPLETE
