number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
0,0.4882240889477966,0.3206268628980933,2024-03-17 10:47:13.778704,2024-03-17 10:48:16.056140,0 days 00:01:02.277436,friedman_mse,1000,1,14,260,0,COMPLETE
1,0.42492033003691443,0.3631970069625279,2024-03-17 10:48:16.057143,2024-03-17 12:05:43.196556,0 days 01:17:27.139413,absolute_error,1000,9,8,320,0,COMPLETE
2,0.49696354294414996,0.31491092238835383,2024-03-17 12:05:43.197709,2024-03-17 12:06:57.796472,0 days 00:01:14.598763,friedman_mse,800,1,10,320,0,COMPLETE
3,0.4222950455906259,0.364916155738954,2024-03-17 12:06:57.796626,2024-03-17 13:24:45.396540,0 days 01:17:47.599914,absolute_error,1400,9,20,320,0,COMPLETE
4,0.5055153278450197,0.3094664360509958,2024-03-17 13:24:45.396540,2024-03-17 13:25:44.576232,0 days 00:00:59.179692,friedman_mse,1000,1,6,240,0,COMPLETE
5,0.484089456663264,0.3239544059123681,2024-03-17 13:25:44.576232,2024-03-17 13:26:58.111254,0 days 00:01:13.535022,squared_error,1200,3,14,360,0,COMPLETE
6,0.4840749618259254,0.32414585061663603,2024-03-17 13:26:58.111524,2024-03-17 13:27:59.333581,0 days 00:01:01.222057,friedman_mse,800,5,6,300,0,COMPLETE
7,0.45055623144915613,0.3451769522664962,2024-03-17 13:27:59.333581,2024-03-17 13:28:41.789097,0 days 00:00:42.455516,squared_error,600,9,8,240,0,COMPLETE
8,0.4589258021076362,0.3400944357795864,2024-03-17 13:28:41.789097,2024-03-17 13:29:28.615358,0 days 00:00:46.826261,friedman_mse,1000,7,18,260,0,COMPLETE
9,0.4241384398714219,0.3637176279552428,2024-03-17 13:29:28.615358,2024-03-17 14:15:51.510516,0 days 00:46:22.895158,absolute_error,800,9,4,200,0,COMPLETE
10,0.4246690803256902,0.36337100878935097,2024-03-17 14:15:51.512525,2024-03-17 15:25:26.188556,0 days 01:09:34.676031,absolute_error,1800,9,8,300,0,COMPLETE
11,0.4419530939949229,0.35236156131822866,2024-03-17 15:25:26.188556,2024-03-17 16:16:51.927290,0 days 00:51:25.738734,absolute_error,2000,7,14,220,0,COMPLETE
12,0.4660175636415763,0.33553830006026,2024-03-17 16:16:51.927290,2024-03-17 16:17:39.305255,0 days 00:00:47.377965,friedman_mse,1400,7,6,240,0,COMPLETE
