number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0.48744531950558934,2024-03-19 13:48:00.607424,2024-03-19 13:49:02.739261,0 days 00:01:02.131837,3.650215811940407e-05,dart,0.3925633841261233,0.23775877196879336,5.700244053774642e-07,depthwise,0.003213658837833819,11,10,220,forest,0.0002603229984694911,uniform,2.6478634389997138e-05,0.8912408334334938,COMPLETE
1,0.47107664129755855,2024-03-19 13:49:02.741267,2024-03-19 13:49:51.754515,0 days 00:00:49.013248,0.03333976917905981,dart,0.9405108113641145,0.2661322307870216,0.3812872718172304,depthwise,0.0007926688385370917,13,3,160,tree,0.0039943845192103354,uniform,1.3054931009899812e-06,0.6319034094403448,COMPLETE
2,0.44973674553080595,2024-03-19 13:49:51.755516,2024-03-19 13:50:59.749382,0 days 00:01:07.993866,7.343212284571563e-05,dart,0.6890723804749329,0.17124342008273313,1.0541077730726709e-07,lossguide,0.00025407147564811505,15,5,200,tree,8.590170193242322e-07,weighted,1.677848585922727e-08,0.43404376442766196,COMPLETE
3,0.24269707809964164,2024-03-19 13:50:59.750386,2024-03-19 13:51:07.976635,0 days 00:00:08.226249,1.0382756532172878e-08,gbtree,0.2553364724042842,0.003903271151145514,6.665917070191286e-05,depthwise,0.01037943323670606,11,8,210,,,,,0.407305626596391,COMPLETE
4,0.4443753051221093,2024-03-19 13:51:07.978213,2024-03-19 13:51:47.826116,0 days 00:00:39.847903,0.049830544414518264,dart,0.7089243862007475,0.28856943820129866,4.672242484976764e-08,depthwise,4.477112889564242e-05,11,9,160,forest,6.784278983765763e-06,uniform,2.9628789948242117e-07,0.6001302887089144,COMPLETE
5,0.5127509584959622,2024-03-19 13:51:47.827185,2024-03-19 13:51:58.586287,0 days 00:00:10.759102,7.213663118909715e-06,gbtree,0.20935096624136307,0.016158856019522525,0.2229974503197513,depthwise,0.027198895357897834,15,4,230,,,,,0.8792198684218049,COMPLETE
6,0.5170431938489122,2024-03-19 13:51:58.588292,2024-03-19 13:52:58.937127,0 days 00:01:00.348835,9.909569686973295e-08,dart,0.8632606753139271,0.019739807334618116,0.9377849825750767,depthwise,0.34990510256957574,13,2,180,forest,0.0002550783899021281,uniform,0.00012499165251263976,0.5702154532803699,COMPLETE
7,0.46119976167823334,2024-03-19 13:52:58.938178,2024-03-19 13:53:04.747284,0 days 00:00:05.809106,0.00010504683950008143,gbtree,0.21541545243479546,0.017611162279540054,3.342547351365088e-08,depthwise,1.5137107167829747e-06,11,3,210,,,,,0.24582226991344927,COMPLETE
8,-0.03867473677383979,2024-03-19 13:53:04.748286,2024-03-19 13:53:27.725195,0 days 00:00:22.976909,7.138402215941896e-06,gbtree,0.8877750682355483,0.7549280398539762,0.006749260231253754,lossguide,0.18926241420171946,11,6,240,,,,,0.6112203399199987,COMPLETE
9,0.5277646420756884,2024-03-19 13:53:27.726199,2024-03-19 13:53:46.470862,0 days 00:00:18.744663,6.810884386971104e-05,gbtree,0.6987470303484511,0.08720541394008866,0.013017627981676005,lossguide,0.023413073956379003,15,6,180,,,,,0.9122220528033265,COMPLETE
