number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,-0.0972157699755238,2024-03-19 20:59:49.587505,2024-03-19 20:59:56.275458,0 days 00:00:06.687953,1.619654239663187e-07,gbtree,0.4264599204913303,3.582126128839186e-07,2.2620360486961993e-07,depthwise,1.217131640359479e-05,3,10,100,,,,,0.7335722160412415,COMPLETE
1,-0.0972161771766634,2024-03-19 20:59:56.275458,2024-03-19 21:01:27.915550,0 days 00:01:31.640092,0.004050226202795057,dart,0.6324343756133657,1.525594277300844e-07,1.5882772288227096e-06,depthwise,4.800800132130793e-07,7,6,120,forest,3.069182364552554e-06,weighted,4.129297606597395e-07,0.623433378650931,COMPLETE
2,0.19290214252115434,2024-03-19 21:01:27.915550,2024-03-19 21:05:13.409670,0 days 00:03:45.494120,7.314517969960152e-05,dart,0.611215542064727,0.007243661356001192,1.5109176417225968e-06,lossguide,0.002020023434510685,5,6,200,forest,4.561746132637624e-08,uniform,3.067687287358708e-08,0.7068331812833415,COMPLETE
3,-0.0915012020769129,2024-03-19 21:05:13.409670,2024-03-19 21:13:31.976033,0 days 00:08:18.566363,0.09326024829726516,dart,0.7720907643110357,3.353859677892568e-05,0.00039311226604503825,lossguide,0.00043095814060606054,9,9,280,forest,2.7688000058272026e-07,weighted,0.0006877443920004946,0.4167308886100305,COMPLETE
4,0.3491458577558176,2024-03-19 21:13:31.977032,2024-03-19 21:19:12.787538,0 days 00:05:40.810506,0.002435734642089989,dart,0.6264941386085511,0.345043707261129,0.0002834994768887795,lossguide,0.0008742030995940948,9,6,240,forest,0.10589797478786019,weighted,0.003393167156365594,0.5429084510440527,COMPLETE
5,-0.09722379878901584,2024-03-19 21:19:12.788538,2024-03-19 21:19:36.954044,0 days 00:00:24.165506,1.2317129378274405e-06,gbtree,0.6213519313216619,1.0269435244868074e-08,0.03011208088083249,lossguide,5.327447032168677e-06,9,8,120,,,,,0.3038517391813198,COMPLETE
6,-0.09689173142215876,2024-03-19 21:19:36.954044,2024-03-19 21:22:22.954602,0 days 00:02:46.000558,0.05611152332459058,dart,0.9894717144034,6.035847434342929e-06,5.6630907496524845e-05,depthwise,3.394079988427291e-07,3,10,160,forest,3.208350851896542e-08,weighted,0.021153088969110598,0.9958041341135564,COMPLETE
7,-0.005927856620959448,2024-03-19 21:22:22.955610,2024-03-19 21:22:35.164197,0 days 00:00:12.208587,0.7137667642822043,gbtree,0.28798665433628134,0.0018980933081502716,0.04998751758847624,lossguide,0.0032635999211438485,7,6,140,,,,,0.23480702373338103,COMPLETE
8,0.46800314214888505,2024-03-19 21:22:35.165238,2024-03-19 21:32:30.338990,0 days 00:09:55.173752,4.1950347834822534e-08,dart,0.9999056886715769,0.06790484642932942,8.257665362378833e-08,depthwise,3.0410820307258155e-07,7,5,300,forest,2.2442074794355962e-08,weighted,8.019641968000112e-06,0.6851511361492606,COMPLETE
9,-0.09680262953218093,2024-03-19 21:32:30.339993,2024-03-19 21:34:43.428197,0 days 00:02:13.088204,1.05111889911202e-06,dart,0.6818063105762417,6.526621465179933e-06,1.8187499714678758e-08,depthwise,1.2489348561488123e-05,5,9,140,forest,0.013219215805817969,uniform,7.862267053316207e-06,0.6921924268571975,COMPLETE
10,0.45135575838384,2024-03-19 21:34:43.429199,2024-03-19 21:36:14.926322,0 days 00:01:31.497123,1.0016857492943745e-08,gbtree,0.9816790792750771,0.32504233747692657,0.6319364136367749,depthwise,0.041725747340674975,7,3,300,,,,,0.9237050774987179,COMPLETE
11,0.30051914210599173,2024-03-19 21:36:14.927323,2024-03-19 21:37:47.698762,0 days 00:01:32.771439,1.26656235404459e-08,gbtree,0.9812675671650561,0.7828222222045678,0.980453408423247,depthwise,0.19291285183764412,7,3,300,,,,,0.9115206617283235,COMPLETE
12,0.37600874679880875,2024-03-19 21:37:47.698762,2024-03-19 21:38:54.240797,0 days 00:01:06.542035,1.0922931270769211e-08,gbtree,0.8421854846742399,0.014775864776318242,1.7126879712080595e-05,depthwise,1.108538284067988e-08,7,3,260,,,,,0.8273935785883918,COMPLETE
13,0.40321799941755776,2024-03-19 21:38:54.242332,2024-03-19 21:39:36.190967,0 days 00:00:41.948635,2.648835455450393e-05,gbtree,0.8723003887903085,0.05839141325595449,0.0063180602898959826,depthwise,0.7622913862635332,5,4,220,,,,,0.8233634703331829,COMPLETE
14,-9.786200850581128e-05,2024-03-19 21:39:36.190967,2024-03-19 21:49:08.356455,0 days 00:09:32.165488,1.598022844287051e-07,dart,0.9075447936558966,0.0006362950595206313,1.0556962412826002e-08,depthwise,0.05800069898969645,7,2,300,tree,0.000171445149782334,weighted,0.6362432997720852,0.49993168816281924,COMPLETE
15,0.4200093166237643,2024-03-19 21:49:08.358544,2024-03-19 21:49:38.516774,0 days 00:00:30.158230,4.440557299384766e-06,gbtree,0.4772936849941102,0.08773683366813666,0.5071027980120819,depthwise,0.01659732348029082,5,4,260,,,,,0.9974177168513632,COMPLETE
