number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0.4361207259386218,2024-03-20 11:47:53.878412,2024-03-20 11:54:27.562681,0 days 00:06:33.684269,5.6153418438455295e-05,dart,0.8008525400529922,1.7057699424220305e-07,lossguide,1.5268943193823107e-05,9,14,260,forest,0.029215262545886734,uniform,0.9162727265391017,0.3082000705902349,COMPLETE
1,0.47964182293524704,2024-03-20 11:54:27.562681,2024-03-20 12:00:06.621894,0 days 00:05:39.059213,0.0028230292404068684,dart,0.8548172293290597,0.06217304894562791,lossguide,1.5137206916495908e-06,9,11,240,forest,2.306487201665173e-05,weighted,2.5596402098782728e-08,0.7999125643494276,COMPLETE
2,0.4864735345068629,2024-03-20 12:00:06.624417,2024-03-20 12:00:42.271427,0 days 00:00:35.647010,0.011819987833230352,gbtree,0.22820535467229686,1.7317071137042512e-05,lossguide,0.000576455701769384,11,6,340,,,,,0.6170741857434772,COMPLETE
3,0.5026758682751642,2024-03-20 12:00:42.271427,2024-03-20 12:08:22.984903,0 days 00:07:40.713476,0.0008645324582159651,dart,0.3179131717641173,6.370518070477142e-07,lossguide,8.57153190101737e-06,13,7,280,tree,1.4361783497643977e-08,weighted,1.993049821052053e-08,0.937905064797736,COMPLETE
4,0.4607834909927841,2024-03-20 12:08:22.987082,2024-03-20 12:08:51.828777,0 days 00:00:28.841695,0.003643706719965154,gbtree,0.33124227718867805,0.00010134539120425516,lossguide,9.668617547126937e-05,9,9,240,,,,,0.5301525626660344,COMPLETE
5,0.4553519029026907,2024-03-20 12:08:51.828777,2024-03-20 12:09:25.524607,0 days 00:00:33.695830,0.0006988782535778123,gbtree,0.6235505269958581,0.005270175580287499,depthwise,6.734216103502941e-05,7,7,200,,,,,0.841282015164355,COMPLETE
6,0.4530545311186643,2024-03-20 12:09:25.526650,2024-03-20 12:10:34.633378,0 days 00:01:09.106728,2.9110229134158052e-08,gbtree,0.6951286098445493,0.17272804848690912,depthwise,0.8415545191539997,9,6,380,,,,,0.2913382045890224,COMPLETE
7,0.4809816760049756,2024-03-20 12:10:34.633378,2024-03-20 12:11:18.974419,0 days 00:00:44.341041,0.35965099432776576,gbtree,0.41818766219436254,0.1204073152139533,lossguide,0.00012914484984417012,9,13,300,,,,,0.9950568402700182,COMPLETE
8,0.4873370575641685,2024-03-20 12:11:18.976470,2024-03-20 12:12:00.057874,0 days 00:00:41.081404,2.861620945910261e-08,gbtree,0.3101371707094045,2.8987566119032146e-07,depthwise,0.0005092031620530773,13,9,260,,,,,0.5716931166777466,COMPLETE
9,0.4798013609779234,2024-03-20 12:12:00.057874,2024-03-20 12:13:12.038423,0 days 00:01:11.980549,5.629412635217733e-07,gbtree,0.49617357810315144,0.0003356765263778877,lossguide,0.0010076333814244551,11,12,360,,,,,0.49394978666493117,COMPLETE
10,0.49646130094526064,2024-03-20 12:13:12.040977,2024-03-20 12:24:30.857200,0 days 00:11:18.816223,1.2303712056506408e-05,dart,0.9928321887550388,2.8036847153293547e-08,depthwise,2.9552090091265392e-08,13,8,320,tree,1.2291571377152915e-08,weighted,1.4806402302403262e-08,0.9889423690204728,COMPLETE
11,0.5001345827962228,2024-03-20 12:24:30.859320,2024-03-20 12:37:04.281863,0 days 00:12:33.422543,1.2506300574764751e-05,dart,0.9805087462421281,1.0515913899672702e-08,depthwise,1.0348535949167045e-08,13,8,320,tree,1.2576730377567544e-08,weighted,1.3294477996238404e-08,0.9565499139049238,COMPLETE
12,0.5003664494601484,2024-03-20 12:37:04.281863,2024-03-20 12:47:11.383697,0 days 00:10:07.101834,1.470976572030298e-06,dart,0.5021124024035384,1.7272430955950494e-06,depthwise,1.1104662061569242e-08,13,8,300,tree,1.6106011084227642e-08,weighted,3.4992556820057014e-06,0.8258391052840499,COMPLETE
