CASRN,CATMoS_LD50_mgkg,Canonical_QSARr,LogLD50
68523-18-2,460.0,CC1(C)C(C1C=C(Cl)Cl)C(=O)OC(C#N)C1C=CC=C(N=1)OC1=CC=CC=C1,2.662757831681574
88-04-0,3830.0,CC1C=C(O)C=C(C)C=1Cl,3.583198773968623
603-50-9,4305.0,CC(=O)OC1C=CC(=CC=1)C(C1C=CC=CN=1)C1C=CC(=CC=1)OC(C)=O,3.6339731557896737
120-36-5,689.0,CC(OC1C=CC(Cl)=CC=1Cl)C(O)=O,2.8382192219076257
103-26-4,2610.0,COC(=O)C=CC1C=CC=CC=1,3.416640507338281
54-80-8,900.0,CC(C)NCC(O)C1C=CC2=CC=CC=C2C=1,2.9542425094393248
51423-20-2,3500.0,COC1=CC2OC(C)(C)C(C(C=2C=C1)C1C=CC(=CC=1)OCCN1CCCC1)C1C=CC=CC=1,3.5440680443502757
69226-50-2,250.0,N#CC1OC1C#N,2.3979400086720375
105-87-3,6330.0,CC(C)=CCCC(C)=CCOC(C)=O,3.801403710017355
77664-07-4,1350.0,COC1C=C(C=C(OC)C=1OC)C=CC(=S)N1CCOCC1,3.130333768495006
17090-79-8,100.0,CC1(CCC2(CC(O)C(C)C(O2)C(C)C(OC)C(C)C(O)=O)O1)C1CCC(CC)(O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C,2.0
51-75-2,10.0,CN(CCCl)CCCl,1.0
13758-99-1,1806.0,C[N+]1(CC2C(C1)C1CCC2C=C1)CC[N+]1(C)CCCC1,3.256717745977487
3615-74-5,7920.0,CC(C)(OC1C=CC=CC=1)C(=O)OCCN1CCOCC1,3.8987251815894934
122-72-5,4700.0,CC(=O)OCCCC1C=CC=CC=1,3.6720978579357175
3804-89-5,10001.0,OS(=O)(=O)CNNC(=O)C1=CC=NC=C1,4.000043427276863
17804-35-2,10000.0,CCCCNC(=O)N1C(NC(=O)OC)=NC2C=CC=CC1=2,4.0
3244-90-4,450.0,CCCOP(=S)(OP(=S)(OCCC)OCCC)OCCC,2.6532125137753435
77-74-7,710.0,CC(O)(CC)CC,2.8512583487190755
460-00-4,2700.0,FC1=CC=C(Br)C=C1,3.4313637641589874
1025-15-6,786.0,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,2.895422546039408
4410-48-4,290.0,CN1C2C3CC4C(CC)C(O)N3C3CC2(C(O)C43)C2=CC=CC=C12,2.462397997898956
111-69-3,302.0,N#CCCCCC#N,2.4800069429571505
25999-31-9,122.0,CC1C=CC(CCC(C)C(O)C(C)C(=O)C(CC)C2OC(CC2C)(CC)C2CCC(O)(CC)C(C)O2)=C(C=1O)C(O)=O,2.0863598306747484
16006-73-8,2319.0,CC(=O)CCC1=C(OC(=O)C2C=CC=CC=2)N(C2C=CC=CC=2)N(C2C=CC=CC=2)C1=O,3.3653007486379876
932-83-2,336.0,O=NN1CCCCCC1,2.526339277389844
1631-52-3,420.0,CN(C)C1CSSC1,2.6232492903979003
17226-75-4,1469.0,COC1=C2C=COC2=CC2OC(COC3OC(CO)C(O)C(O)C3O)=CC(=O)C=21,3.1670217957902564
333-43-7,46.0,CC1C=CC(=CC=1)SP(=S)(CC)OCC,1.662757831681574
494-47-3,400.0,C(=NC(N=CC1=CC=CO1)C1=CC=CO1)C1=CC=CO1,2.6020599913279625
1069-66-5,670.0,CCCC(CCC)C(O)=O,2.8260748027008264
1531-94-8,1950.0,CC(=O)OC1CCC(CC1)N1CCCCC1,3.290034611362518
19379-90-9,750.0,CCCCCCCCCCCC[N+](CC1C=CC=CC=1)(CCO)CCO,2.8750612633917
60-34-4,32.5,CNN,1.5118833609788744
