number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
0,0.40805771864270896,0.3699467972571925,2024-03-09 14:17:41.195501,2024-03-09 14:29:27.437219,0 days 00:11:46.241718,4.771346364719175e-05,dart,0.333586241327942,0.15619551499544634,0.07785028045007336,depthwise,0.002130775537299379,7,7,180,tree,9.782122975177611e-05,uniform,0.0006307784998775277,0.2994536945508974,0,COMPLETE
1,-0.09705850133258971,0.6886055112426738,2024-03-09 14:29:27.439236,2024-03-09 14:33:27.661626,0 days 00:04:00.222390,0.2807132521410156,gbtree,0.44617466173646936,8.778758047490354e-07,1.6911932140690066e-05,lossguide,0.007714008683579473,7,7,280,,,,,0.31129072883099695,0,COMPLETE
2,-0.09721089203105446,0.6887008651149714,2024-03-09 14:33:27.662630,2024-03-09 14:37:07.856831,0 days 00:03:40.194201,0.00047799116813024425,gbtree,0.6385407171758031,1.2915531949292957e-07,0.0009275423513280933,lossguide,0.7570860868863649,3,6,300,,,,,0.5457164597155926,0,COMPLETE
3,-0.06683854525289568,0.6692611511090494,2024-03-09 14:37:07.857832,2024-03-09 14:40:19.491174,0 days 00:03:11.633342,2.758604116228163e-06,gbtree,0.908975692614896,0.0005236405739617829,6.693981534894989e-05,depthwise,0.0011089615128937625,3,6,160,,,,,0.7964906745652243,0,COMPLETE
4,0.40920200070561236,0.3713661201186761,2024-03-09 14:40:19.492190,2024-03-09 14:49:25.194923,0 days 00:09:05.702733,0.0038385343198659924,dart,0.4169397231211666,0.10422316494249655,0.04986543873397221,depthwise,1.9647709131928346e-07,3,5,160,forest,7.557618968567328e-08,uniform,2.0318867735472887e-08,0.7731074512495635,0,COMPLETE
5,-0.09718959154798665,0.6886880704400336,2024-03-09 14:49:25.195924,2024-03-09 14:53:36.188890,0 days 00:04:10.992966,0.07929375377291031,dart,0.46422458998824645,6.174035325582675e-07,5.1410396987933253e-05,depthwise,0.0016389629401490707,5,6,100,forest,4.697904313453145e-08,weighted,1.2685164825468245e-07,0.32714629747020385,0,COMPLETE
6,-0.09701669734612683,0.6885797172426187,2024-03-09 14:53:36.190923,2024-03-09 15:10:06.160795,0 days 00:16:29.969872,1.5522244576923914e-05,dart,0.7616621325338822,1.429560240996937e-06,1.7835923428670912e-05,lossguide,0.00017149395162199062,7,10,220,forest,0.1254750877834888,uniform,0.00129724463273521,0.2174173266590419,0,COMPLETE
7,-0.0971997990529577,0.6886940492745813,2024-03-09 15:10:06.161797,2024-03-09 15:23:23.905713,0 days 00:13:17.743916,0.006256148579052095,dart,0.36177798343444967,3.438786005267805e-07,1.5663663088374645e-08,lossguide,0.0001765937421095327,3,7,200,tree,0.0002524580042266706,weighted,0.0005290176509659743,0.6551071321101207,0,COMPLETE
8,0.10246386849536357,0.5617090698834846,2024-03-09 15:23:23.906715,2024-03-09 15:26:55.423596,0 days 00:03:31.516881,9.085750785301884e-06,gbtree,0.5350194376760122,0.0030718446521686015,1.0853153520489054e-05,lossguide,1.9412942047176848e-08,3,9,280,,,,,0.8666474072967767,0,COMPLETE
9,-0.09535893294795046,0.6875267385404621,2024-03-09 15:26:55.424596,2024-03-09 15:31:01.953363,0 days 00:04:06.528767,6.766191932450977e-07,gbtree,0.87587207793859,1.205055809464742e-05,0.1069962671602826,lossguide,0.07112697275711163,5,8,280,,,,,0.21580408752118246,0,COMPLETE
10,0.27517971871819336,0.45413411631043477,2024-03-09 15:31:01.954365,2024-03-09 15:40:08.335483,0 days 00:09:06.381118,6.961188446238116e-05,dart,0.42948145235624546,0.0072236449761651006,0.0007904437283309101,lossguide,0.8708772633621661,7,9,140,forest,1.7582558809413224e-05,uniform,0.01330806725720273,0.7078329942049246,0,COMPLETE
11,-0.09718436324475803,0.6886837638739662,2024-03-09 15:40:08.336484,2024-03-09 15:56:26.738503,0 days 00:16:18.402019,0.023447783361628356,dart,0.27690635590873014,9.176438769775504e-06,1.1709930722868039e-05,depthwise,0.0017759003191941225,3,9,280,tree,0.6117450056830634,weighted,1.226552867786495e-08,0.8956875975411036,0,COMPLETE
12,0.3203364847969233,0.4252125442162426,2024-03-09 15:56:26.739802,2024-03-09 16:01:21.924679,0 days 00:04:55.184877,0.004346831491095884,gbtree,0.2971202099053729,0.004220530366989789,2.4419252801801155e-05,depthwise,0.0001613960597989757,7,5,300,,,,,0.728321494262149,0,COMPLETE
13,-0.09721834116379546,0.6887063776192628,2024-03-09 16:01:21.925682,2024-03-09 16:15:27.490328,0 days 00:14:05.564646,0.0008933726109676465,dart,0.716475334700333,3.082350045640914e-07,0.0021559533731299926,depthwise,0.003000812207431847,5,3,180,tree,0.09029512797576189,uniform,7.023808340982011e-07,0.651501209808099,0,COMPLETE
14,0.4861927174074506,0.3224433052179908,2024-03-09 16:15:27.491330,2024-03-09 16:51:14.038683,0 days 00:35:46.547353,0.22461964962413392,dart,0.9643879895715253,0.05507558529432227,2.1255827559197746e-05,depthwise,0.00016522388903972757,5,2,300,forest,6.011744865173161e-08,weighted,0.0017113910861378105,0.5111515087186029,0,COMPLETE
15,0.2851346057909659,0.44748842037684733,2024-03-09 16:51:14.039698,2024-03-09 16:56:36.294263,0 days 00:05:22.254565,0.11861583926100333,gbtree,0.9027675315866919,0.008660697808038818,5.31103171964554e-08,lossguide,7.810165979136746e-06,5,8,180,,,,,0.5421459936549349,0,COMPLETE
16,-0.0945788382847967,0.6870258541349421,2024-03-09 16:56:36.295265,2024-03-09 17:05:52.222959,0 days 00:09:15.927694,0.5661969026408644,gbtree,0.8469374768400935,1.4800112810493611e-05,1.3177900779458745e-07,depthwise,2.4093613350298075e-07,5,5,300,,,,,0.7036831165711597,0,COMPLETE
17,-0.09591886141498143,0.6878787147032683,2024-03-09 17:05:52.224516,2024-03-09 17:29:06.497602,0 days 00:23:14.273086,1.0258443747333188e-06,dart,0.8501005677298119,9.687000551375115e-06,0.01701128961117606,depthwise,0.001056491341309208,5,8,220,forest,5.667050787134266e-06,uniform,1.1969874162941557e-06,0.9980577575304108,0,COMPLETE
18,-0.09646092479444039,0.6882274599088862,2024-03-09 17:29:06.498605,2024-03-09 17:32:44.967322,0 days 00:03:38.468717,0.03780016710233546,gbtree,0.4717153019665272,4.096412047978105e-06,1.0396630604069703e-07,depthwise,1.9057479538832302e-05,7,4,280,,,,,0.25420445864902397,0,COMPLETE
19,-0.03708022181847781,0.6507562472201867,2024-03-09 17:32:44.969326,2024-03-09 17:37:40.571640,0 days 00:04:55.602314,1.9796856303780546e-06,gbtree,0.9990905805512409,0.0007574380848092142,0.07500646447774295,depthwise,1.591026660486733e-05,7,10,120,,,,,0.4628990729144432,0,COMPLETE
20,0.010720443182288486,0.6195191438774369,2024-03-09 17:37:40.572643,2024-03-09 18:06:01.682733,0 days 00:28:21.110090,2.6186830002293746e-06,dart,0.29431553745200284,0.0012747802167786197,3.328907440983689e-05,depthwise,3.136629158005088e-05,3,2,300,tree,0.0017208201325700952,uniform,5.96206016037642e-06,0.9653506260775142,0,COMPLETE
21,-0.09722131054403378,0.6887082434564282,2024-03-09 18:06:01.683735,2024-03-09 18:12:11.014720,0 days 00:06:09.330985,0.03225302888680037,dart,0.8563361271694017,4.991669224002019e-07,0.0012046068909874043,depthwise,0.0002812913426071446,3,3,140,tree,0.22183680101261222,weighted,0.0012872148251917624,0.2859388863978278,0,COMPLETE
22,0.3950951791373522,0.3797814427267797,2024-03-09 18:12:11.015722,2024-03-09 18:17:48.170333,0 days 00:05:37.154611,0.020867817379744476,dart,0.30843625123097884,0.03818339123580162,0.004504463537250344,depthwise,0.01409061355105301,5,2,120,forest,2.2200997915744396e-08,uniform,1.0445186351215705e-08,0.5026178374364831,0,COMPLETE
23,-0.08885168946912456,0.6833804828053835,2024-03-09 18:17:48.172325,2024-03-09 18:23:01.243686,0 days 00:05:13.071361,1.2364739277973508e-06,gbtree,0.6709371726546332,6.460339959466644e-05,0.00011194267011674732,depthwise,8.38099204457312e-07,5,3,220,,,,,0.6426955119016897,0,COMPLETE
24,0.513867295183239,0.3058895129321203,2024-03-09 18:23:01.244683,2024-03-09 18:30:47.464332,0 days 00:07:46.219649,7.681165288806858e-08,gbtree,0.672207359398822,0.040700873975775806,1.7540044406323828e-05,lossguide,3.85104280797621e-06,7,10,200,,,,,0.9174452875869381,0,COMPLETE
