number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
0,0.49803857778127797,0.3144695391425866,2024-03-12 16:26:10.494854,2024-03-12 16:35:25.629633,0 days 00:09:15.134779,3.0682852715451994e-08,dart,0.9874927842304573,3.796829104716798e-05,depthwise,7.990426732497969e-07,9,4,100,tree,1.6660011449142231e-06,uniform,9.6498783514257e-05,0.510345655782361,0,COMPLETE
1,0.4817195360317087,0.32560336733490836,2024-03-12 16:35:25.630635,2024-03-12 16:41:35.956769,0 days 00:06:10.326134,0.05186932178555722,gbtree,0.755474324129876,0.0009720175221866907,depthwise,0.00013218189808526803,5,4,240,,,,,0.6218217933954813,0,COMPLETE
2,0.5129478303495855,0.30559386872442607,2024-03-12 16:41:35.957772,2024-03-12 16:55:53.373221,0 days 00:14:17.415449,6.2850661573892e-05,dart,0.9265359156846327,0.7374382126468132,depthwise,3.2330765711193644e-07,9,9,140,tree,9.650650225194901e-08,uniform,0.002401560826792236,0.6268706842715517,0,COMPLETE
3,0.48376782933656787,0.32414664105496876,2024-03-12 16:55:53.373704,2024-03-12 17:02:18.517951,0 days 00:06:25.144247,1.0428099760888768e-06,gbtree,0.706675789848507,9.119080327171422e-06,lossguide,1.3423168438589482e-06,5,5,260,,,,,0.6575149600813949,0,COMPLETE
4,0.2098360359567101,0.4960773087352067,2024-03-12 17:02:18.518953,2024-03-12 17:11:46.621149,0 days 00:09:28.102196,0.15668318443929194,dart,0.6233030479168968,1.2460797178659953e-07,depthwise,0.004590436417775004,9,10,160,tree,0.44076743315035055,weighted,3.460915363634094e-05,0.3181734997822734,0,COMPLETE
5,0.43260099104398647,0.3566081714012547,2024-03-12 17:11:46.622153,2024-03-12 17:21:34.333387,0 days 00:09:47.711234,0.3688641315744046,dart,0.32445545005378656,5.500464222922406e-06,depthwise,1.0982414727998664e-07,5,9,160,tree,0.0003883172703186387,weighted,3.937281663639861e-05,0.40293627249366293,0,COMPLETE
6,0.49175037356995244,0.3189965733719634,2024-03-12 17:21:34.334853,2024-03-12 17:27:12.253217,0 days 00:05:37.918364,0.0011999986916701863,gbtree,0.828866446303385,0.022594877618096698,depthwise,0.004811159731674341,7,8,120,,,,,0.8423235606039201,0,COMPLETE
7,0.4827967693464488,0.32413524541715794,2024-03-12 17:27:12.254232,2024-03-12 17:29:20.713690,0 days 00:02:08.459458,2.8141742158410676e-06,gbtree,0.2346694630879468,2.462752161277058e-06,lossguide,0.7189694087588965,7,7,280,,,,,0.2876526910015145,0,COMPLETE
8,0.4755198549737262,0.33015339923095816,2024-03-12 17:29:20.714706,2024-03-12 17:42:14.385692,0 days 00:12:53.670986,0.08285631433185021,dart,0.9667794831860779,2.2072505473682072e-08,depthwise,0.0033621420181718887,7,9,160,tree,3.411247541666188e-06,uniform,4.508480902059559e-08,0.35422299924099854,0,COMPLETE
9,0.3761810974659718,0.3915158661539383,2024-03-12 17:42:14.385692,2024-03-12 17:42:51.993037,0 days 00:00:37.607345,0.00010037550864801779,gbtree,0.26008853044045277,0.2872047230909357,lossguide,0.4554915959289609,5,6,100,,,,,0.24369355036257867,0,COMPLETE
