number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
0,0.4243094100884127,0.38350271643616785,0.3677646969547561,0.3962293248440542,2024-03-13 09:59:07.437575,2024-03-13 10:00:15.927941,0 days 00:01:08.490366,0.0016106524130146424,gbtree,0.6290122465574897,1.2640467186020439e-08,depthwise,0.0006246057270614547,5,5,100,,,,,0.22500784045281713,0,COMPLETE
1,0.5487926825053038,0.3005767941450411,0.4861339550813854,0.32218025535917627,2024-03-13 10:00:15.927941,2024-03-13 10:39:24.096578,0 days 00:39:08.168637,0.003772265430755739,dart,0.9908363348606495,0.0007927152387422568,lossguide,8.627198233986646e-08,5,9,300,tree,0.00010623658938834154,weighted,0.8695064373909027,0.5413092820143226,0,COMPLETE
2,0.5058713034989443,0.32916935016485227,0.4615539839986604,0.3385246046311555,2024-03-13 10:39:24.096578,2024-03-13 10:58:59.084617,0 days 00:19:34.988039,2.59299274363008e-06,dart,0.9388759654465182,4.715408893849338e-08,depthwise,1.2554938055963243e-06,5,5,200,tree,1.1804375431655736e-06,weighted,0.00025647213590373184,0.5007544187225705,0,COMPLETE
3,0.5077243189024181,0.3279349432572469,0.44993064949504824,0.34475659549216997,2024-03-13 10:58:59.084617,2024-03-13 11:05:34.977205,0 days 00:06:35.892588,8.504289839951567e-05,dart,0.346029373988307,3.2492665406774477e-07,lossguide,0.0009109867446457034,9,2,120,tree,2.0260209957180262e-05,weighted,1.1814845966635835e-08,0.2693029783733886,0,COMPLETE
4,0.5286877931819067,0.3139698907220677,0.4807818402997068,0.3263064486080422,2024-03-13 11:05:34.978208,2024-03-13 11:30:20.506737,0 days 00:24:45.528529,0.03684781631680017,dart,0.25588787499447935,0.0002918364834373307,lossguide,0.07037844886010812,5,5,260,forest,1.756379841647008e-07,uniform,0.006077041047648419,0.7442968087303552,0,COMPLETE
5,0.49044657463612895,0.33944470557771306,0.42871781410837456,0.3576546654927951,2024-03-13 11:30:20.506737,2024-03-13 11:33:25.211019,0 days 00:03:04.704282,0.04901726355899309,gbtree,0.6531135096833924,6.429896977699614e-07,depthwise,0.029649547081027905,5,2,160,,,,,0.41660762620544506,0,COMPLETE
6,0.5222117219197018,0.318283997925507,0.4694742764614899,0.33244049671921133,2024-03-13 11:33:25.213025,2024-03-13 11:38:14.977370,0 days 00:04:49.764345,5.4880992808808366e-08,gbtree,0.5990485001132356,2.1971750636998386e-08,depthwise,2.3048640517824998e-05,5,3,240,,,,,0.5093094618191822,0,COMPLETE
7,0.5407058114717134,0.3059639536074308,0.4900307450115555,0.3204879987362049,2024-03-13 11:38:14.977370,2024-03-13 11:48:54.523425,0 days 00:10:39.546055,0.014495214376522918,dart,0.8924157851926127,9.631317391129026e-05,lossguide,1.7690108816312577e-08,7,6,120,tree,0.0072213202378553125,uniform,0.0014414831067255502,0.7258284197492038,0,COMPLETE
8,0.5589969546938037,0.29377910425376674,0.5114054387128838,0.3070631000167333,2024-03-13 11:48:54.523425,2024-03-13 12:05:40.530904,0 days 00:16:46.007479,0.037792669736379056,dart,0.31334886482604346,0.09611449873561989,depthwise,0.040633040219553884,7,4,200,forest,2.4578072036924115e-05,weighted,0.005354168655664486,0.6690803742269056,0,COMPLETE
9,0.46678217838373215,0.3552090074521102,0.41487806287931894,0.3678142869257765,2024-03-13 12:05:40.530904,2024-03-13 12:06:43.587881,0 days 00:01:03.056977,1.9211950952439766e-08,gbtree,0.22222399516470157,0.5712968810434835,depthwise,0.000968577520784937,5,5,100,,,,,0.7579732366593108,0,COMPLETE
10,0.551914117321803,0.2984974154782998,0.5122766601868062,0.30667309893263084,2024-03-13 12:06:43.587881,2024-03-13 12:28:06.148820,0 days 00:21:22.560939,0.037806440111197076,dart,0.910120692241623,0.02169766953703813,depthwise,8.252288998748084e-08,7,4,180,forest,0.04214115524427597,uniform,3.978683471447674e-07,0.859151299359362,0,COMPLETE
11,0.566527995267156,0.2887622174606108,0.5344611223617999,0.29249694369881796,2024-03-13 12:28:06.149823,2024-03-13 12:38:46.033077,0 days 00:10:39.883254,2.5485742144963183e-07,gbtree,0.7898067575557783,0.0070174707193109585,lossguide,0.041086228495656,9,9,180,,,,,0.718584372167397,0,COMPLETE
